tiempo_ps,temperatura_K,energia_potencial_kJ,densidad_g_mL,rmsd_CA_A,d_PG_O6_A,d_PG_O3B_A,d_O6_OD1asp205_A,d_O6_OD2asp205_A,d_Mg_PG_A,d_NZlys169_O6_A
899.9999999850274,298.4733013369906,-751434.5694306586,1.0329939564803077,1.0855081,3.2345595,1.5793705,4.5589986,4.7016487,2.5878537,3.823883
909.999999984791,300.6443431898155,-751132.558053791,1.0325315211254456,1.0624757,3.468298,1.5077815,4.4687176,5.0893164,2.5756302,4.062048
919.9999999845545,302.9001390062876,-751617.8935784288,1.0320857313991725,1.0901057,3.4695432,1.5650551,4.36228,4.707612,2.608684,3.5570288
929.999999984318,299.5753241541243,-751146.4385959422,1.0339115787235122,1.0948311,3.3798022,1.5586656,4.27942,4.9478807,2.5673714,3.794049
939.9999999840816,299.6120266352113,-750341.2147751851,1.0284907628862685,1.13202,3.5443532,1.511025,4.5429926,4.9592237,2.5177991,3.8965712
949.9999999838451,299.59824344679276,-747962.03260318,1.0296330674943743,1.1347245,3.4280584,1.5470734,4.766511,5.189052,2.5179944,4.0725274
959.9999999836086,300.18187928299255,-750754.748660048,1.0290064447752372,1.1202251,3.4515429,1.5732616,4.572972,4.9431105,2.5192018,3.9870214
969.9999999833722,300.458523048705,-751324.6441314784,1.034201389978504,1.2665819,3.4731102,1.5492101,4.611675,5.1827135,2.579987,3.8249228
979.9999999831357,300.5772607911363,-749908.7278685914,1.028303923704127,1.2414528,3.5567167,1.576154,4.2346406,4.9340386,2.5380168,3.8683643
989.9999999828995,300.8983205653994,-749447.2938545807,1.031117575412094,1.3422717,3.407674,1.5844204,4.3999867,5.007398,2.5447538,3.6755872
999.9999999826628,300.7766112181256,-749305.6979261292,1.027694161915588,1.2297016,3.5341425,1.5325968,4.318119,4.6608934,2.6212144,3.793818
